Location,5/1/2020,5/2/2020,Location (New Added),5/5/2020,Location (New Added),5/6/2020,Location (New Added),5/7/2020,Location (New Added),5/8/2020,Location (New Added),5/9/2020,Location (New Added),5/10/2020,Location (New Added),5/11/2020,Location (New Added),5/12/2020,Location (New Added),5/14/2020,Location (New Added),5/15/2020,Location (New Added),5/16/2020,Location (New Added),5/17/2020,Location (New Added),5/18/2020,Location (New Added),5/19/2020
Abdullahpur,1,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,2,Abdullahpur,3,Abdullahpur,3,Abdullahpur,3,Abdullahpur,3,,,,
Adabor,9,12,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,Aftabnagar,1,,,,
Agargaon,12,20,Adabor,14,Adabor,15,Adabor,18,Adabor,20,Adabor,21,Adabor,23,Adabor,23,Adabor,24,Adabor,25,Adabor,25,Adabor,26,Adabor,27,,,,
Aminbazar,2,2,Agargaon,32,Agargaon,47,Agargaon,47,Agargaon,47,Agargaon,47,Agargaon,48,Agargaon,48,Agargaon,48,Agargaon,55,Agargaon,57,Agargaon,58,Agargaon,78,,,,
Amlapara,2,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,Aminbazar,2,,,,
Arambagh,2,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,Amlapara,2,,,,
Armanitola,3,3,Arambagh,6,Arambagh,7,Arambagh,7,Arambagh,7,Arambagh,7,Arambagh,7,Arambagh,7,Arambagh,7,Arambagh,8,Arambagh,8,Arambagh,8,Arambagh,8,,,,
Ashkona,1,1,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,3,Armanitola,4,,,,
Azimpur,21,21,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,Asad Gate,1,,,,
Babu Bazar,29,35,Ashulia,1,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,Ashulia,2,,,,
Badda,41,41,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,Ashkona,1,,,,
Baily Road,4,4,Azimpur,23,Azimpur,24,Azimpur,25,Azimpur,25,Azimpur,25,Azimpur,27,Azimpur,27,Azimpur,27,Azimpur,27,Azimpur,32,Azimpur,34,Azimpur,38,,,,
Bakshibazar,2,2,Babu Bazar,66,Babu Bazar,69,Babu Bazar,73,Babu Bazar,78,Babu Bazar,79,Babu Bazar,82,Babu Bazar,88,Babu Bazar,88,Babu Bazar,115,Babu Bazar,115,Babu Bazar,115,Babu Bazar,117,,,,
Baridhara,7,7,Badda,46,Badda,49,Badda,54,Badda,55,Badda,57,Badda,59,Badda,68,Badda,71,Badda,85,Badda,90,Badda,93,Badda,97,,,,
Banasree,2,2,Baily Road,5,Baily Road,6,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,13,Baily Road,15,,,,
Banani,12,13,Bakshibazar,2,Bakshibazar,5,Bakshibazar,5,Bakshibazar,5,Bakshibazar,5,Bakshibazar,5,Bakshibazar,6,Bakshibazar,7,Bakshibazar,7,Bakshibazar,7,Bakshibazar,8,Bakshibazar,8,,,,
Banglamotor,3,3,Baridhara,8,Baridhara,8,Baridhara,8,Baridhara,8,Baridhara,8,Baridhara,8,Baridhara,11,Baridhara,11,Baridhara,13,Baridhara,14,Baridhara,14,Baridhara,14,,,,
Bangshal,56,58,Banasree,5,Banasree,5,Banasree,6,Banasree,6,Banasree,6,Banasree,6,Banasree,8,Banasree,13,Banasree,18,Banasree,20,Banasree,20,Banasree,20,,,,
Banianagar,1,1,Banani,17,Banani,21,Banani,22,Banani,25,Banani,27,Banani,32,Banani,39,Banani,44,Banani,44,Banani,48,Banani,51,Banani,58,,,,
Basabo,34,34,Banglamotor,4,Banglamotor,4,Banglamotor,5,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,Banglamotor,6,,,,
Bijoynagar,1,1,Bangshal,63,Bangshal,68,Bangshal,68,Bangshal,71,Bangshal,74,Bangshal,75,Bangshal,78,Bangshal,82,Bangshal,82,Bangshal,82,Bangshal,84,Bangshal,84,,,,
Bashundhora,13,13,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,Banianagar,1,,,,
Begunbari,2,2,Basabo,43,Basabo,46,Basabo,46,Basabo,47,Basabo,49,Basabo,54,Basabo,55,Basabo,57,Basabo,57,Basabo,58,Basabo,61,Basabo,65,,,,
Begum Bazar,1,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,Bijoynagar,1,,,,
Beribadh,1,1,Bashundhora,15,Bashundhora,15,Bashundhora,15,Bashundhora,19,Bashundhora,19,Bashundhora,20,Bashundhora,20,Bashundhora,20,Bashundhora,21,Bashundhora,21,Bashundhora,23,Bashundhora,28,,,,
Bokshi Bazar,5,5,Begunbari,3,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,Begunbari,4,,,,
Bosila,1,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,Begum Bazar,1,,,,
Buet Area,1,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,Beribadh,1,,,,
Cantonment,8,8,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,Bokshi Bazar,5,,,,
Central Road,2,2,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,Bosila,1,,,,
Chankharpool,31,31,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,Buet Area,1,,,,
Chawk Bazar,32,32,Cantonment,9,Cantonment,9,Cantonment,9,Cantonment,10,Cantonment,10,Cantonment,10,Cantonment,10,Cantonment,11,Cantonment,11,Cantonment,14,Cantonment,14,Cantonment,14,,,,
Dania,4,5,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,Central Road,2,,,,
Dakshinkhan,1,1,Chankharpool,36,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,Chankharpool,37,,,,
Dhakkeshori,1,1,Chawk Bazar,43,Chawk Bazar,45,Chawk Bazar,48,Chawk Bazar,49,Chawk Bazar,52,Chawk Bazar,54,Chawk Bazar,58,Chawk Bazar,59,Chawk Bazar,69,Chawk Bazar,70,Chawk Bazar,70,Chawk Bazar,70,,,,
Demra,10,10,Dania,7,Dania,9,Dania,9,Dania,9,Dania,9,Dania,9,Dania,9,Dania,9,Dania,11,Dania,11,Dania,11,Dania,12,,,,
Dhanmondi,38,38,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,Dakshinkhan,1,,,,
Dhalpur,4,4,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,Dhakkeshori,1,,,,
Dholaipar,2,2,Demra,16,Demra,18,Demra,18,Demra,18,Demra,18,Demra,18,Demra,18,Demra,19,Demra,19,Demra,20,Demra,23,Demra,25,,,,
Dholaikhal,2,2,Dhanmondi,46,Dhanmondi,51,Dhanmondi,53,Dhanmondi,57,Dhanmondi,57,Dhanmondi,63,Dhanmondi,69,Dhanmondi,76,Dhanmondi,83,Dhanmondi,94,Dhanmondi,97,Dhanmondi,106,,,,
Doyaganj,3,3,Dhalpur,9,Dhalpur,9,Dhalpur,9,Dhalpur,9,Dhalpur,9,Dhalpur,9,Dhalpur,17,Dhalpur,17,Dhalpur,18,Dhalpur,18,Dhalpur,18,Dhalpur,18,,,,
Elephant Road,11,11,Dholaipar,5,Dholaipar,5,Dholaipar,5,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,Dholaipar,6,,,,
Eskaton,13,13,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,Dholaikhal,2,,,,
Faridabagh,1,1,Doyaganj,3,Doyaganj,3,Doyaganj,3,Elephant Road,12,Doyaganj,3,Doyaganj,3,Doyaganj,3,Doyaganj,3,Doyaganj,3,Doyaganj,3,Doyaganj,3,Doyaganj,3,,,,
Fakirapool,2,2,Elephant Road,11,Elephant Road,11,Elephant Road,11,Eskaton,24,Elephant Road,12,Elephant Road,12,Elephant Road,12,Elephant Road,12,Elephant Road,14,Elephant Road,15,Elephant Road,16,Elephant Road,20,,,,
Forashganj,2,2,Eskaton,17,Eskaton,21,Eskaton,23,Faridabagh,1,Eskaton,24,Eskaton,31,Eskaton,33,Eskaton,36,Eskaton,36,Eskaton,39,Eskaton,39,Eskaton,43,,,,
Farmgate,18,18,Faridabagh,1,Faridabagh,1,Faridabagh,1,Fakirapool,3,Faridabagh,1,Faridabagh,1,Faridabagh,1,Faridabagh,1,Faridabagh,1,Faridabagh,1,Faridabagh,1,Faridabagh,1,,,,
Gendaria,45,48,Fakirapool,3,Fakirapool,3,Fakirapool,3,Forashganj,2,Fakirapool,3,Fakirapool,3,Fakirapool,3,Fakirapool,3,Fakirapool,3,Fakirapool,3,Fakirapool,3,Fakirapool,3,,,,
Golartek,1,1,Forashganj,2,Forashganj,2,Forashganj,2,Farmgate,32,Forashganj,2,Fulbaria,7,Fulbaria,11,Fulbaria,13,Fulbaria,14,Fulbaria,14,Fulbaria,14,Fulbaria,16,,,,
Goran,3,4,Farmgate,32,Farmgate,32,Farmgate,32,Gendaria,58,Farmgate,32,Forashganj,2,Forashganj,2,Forashganj,2,Forashganj,2,Forashganj,2,Forashganj,2,Forashganj,2,,,,
Golapbagh,3,5,Gendaria,56,Gendaria,57,Gendaria,57,Golartek,1,Gendaria,62,Farmgate,33,Farmgate,33,Farmgate,34,Farmgate,34,Farmgate,38,Farmgate,38,Farmgate,38,,,,
Gonoktuli,3,3,Golartek,1,Golartek,1,Golartek,1,Goran,13,Golartek,1,Gendaria,64,Gendaria,64,Gendaria,70,Gendaria,73,Gendaria,73,Gendaria,75,Gendaria,77,,,,
Gopibag,19,19,Goran,8,Goran,13,Goran,13,Golapbagh,7,Goran,13,Golartek,1,Golartek,1,Golartek,1,Golartek,1,Golartek,1,Golartek,1,Gabtoli,2,,,,
Green Road,12,12,Golapbagh,6,Golapbagh,7,Golapbagh,7,Gonoktuli,4,Golapbagh,7,Goran,13,Goran,13,Goran,14,Goran,14,Goran,14,Goran,14,Golartek,1,,,,
Gulistan,7,7,Gonoktuli,3,Gonoktuli,3,Gonoktuli,3,Gopibag,29,Gonoktuli,4,Golapbagh,7,Golapbagh,7,Golapbagh,7,Golapbagh,7,Golapbagh,10,Golapbagh,10,Goran,14,,,,
Gulshan,27,32,Gopibag,29,Gopibag,29,Gopibag,29,Green Road,22,Gopibag,29,Gonoktuli,4,Gonoktuli,4,Gonoktuli,4,Gonoktuli,4,Gonoktuli,4,Gonoktuli,4,Golapbagh,10,,,,
Hatir jhil,5,6,Green Road,13,Green Road,18,Green Road,19,Gulistan,10,Green Road,26,Gopibag,29,Gopibag,29,Gopibag,29,Gopibag,29,Gopibag,29,Gopibag,29,Gonoktuli,4,,,,
Hatirpool,4,4,Gulistan,8,Gulistan,8,Gulistan,8,Gulshan,54,Gulistan,10,Green Road,26,Green Road,27,Green Road,30,Green Road,34,Green Road,37,Green Road,39,Gopibag,31,,,,
Hazaribagh,38,38,Gulshan,41,Gulshan,42,Gulshan,54,Hatir jhil,6,Gulshan,54,Gulistan,10,Gulistan,10,Gulistan,10,Gulistan,11,Gulistan,11,Gulistan,11,Green Road,40,,,,
Ibrahimpur,2,2,Hatir jhil,6,Hatir jhil,6,Hatir jhil,6,Hatirpool,9,Hatir jhil,6,Gulshan,57,Gulshan,57,Gulshan,58,Gulshan,60,Gulshan,63,Gulshan,63,Gulistan,11,,,,
Islambagh,2,2,Hatirpool,6,Hatirpool,7,Hatirpool,9,Hazaribagh,40,Hatirpool,9,Hatir jhil,6,Hatir jhil,6,Hatir jhil,6,Hatir jhil,6,Hatir jhil,6,Hatir jhil,6,Gulshan,68,,,,
Islampur,2,2,Hazaribagh,39,Hazaribagh,39,Hazaribagh,39,Ibrahimpur,6,Hazaribagh,41,Hatirpool,10,Hatirpool,11,Hatirpool,16,Hatirpool,16,Hajipara,3,Hajipara,3,Hatir jhil,6,,,,
Jailgate,2,2,Ibrahimpur,3,Ibrahimpur,6,Ibrahimpur,6,Islambagh,3,Ibrahimpur,6,Hazaribagh,46,Hazaribagh,47,Hazaribagh,50,Hazaribagh,54,Hatirpool,16,Hatirpool,17,Hajipara,3,,,,
Jatrabari,99,101,Islambagh,2,Islambagh,3,Islambagh,3,Islampur,6,Islambagh,3,Ibrahimpur,6,Ibrahimpur,6,Ibrahimpur,6,Ibrahimpur,6,Hazaribagh,57,Hazaribagh,57,Hatirpool,17,,,,
Jigatala,7,7,Islampur,2,Islampur,6,Islampur,6,Jailgate,2,Islampur,6,Islambagh,3,Islambagh,3,Islambagh,3,Islambagh,3,Ibrahimpur,6,Ibrahimpur,8,Hazaribagh,65,,,,
Jurain,32,32,Jailgate,2,Jailgate,2,Jailgate,2,Jatrabari,169,Jailgate,2,Islampur,6,Islampur,6,Islampur,6,Islampur,6,Islambagh,3,Islambagh,3,Ibrahimpur,9,,,,
Kallyanpur,6,6,Jatrabari,143,Jatrabari,159,Jatrabari,163,Jigatala,9,Jatrabari,182,Jailgate,2,Jailgate,2,Jailgate,2,Jailgate,2,Islampur,6,Islampur,7,Indira Road,5,,,,
Kalabagan,7,7,Jigatala,8,Jigatala,9,Jigatala,9,Jurain,38,Jigatala,11,Jatrabari,186,Jatrabari,196,Jatrabari,206,Jatrabari,214,Jailgate,2,Jailgate,2,Islambagh,3,,,,
Kakrail,137,150,Jurain,36,Jurain,38,Jurain,38,Kafrul,2,Jurain,39,Jigatala,11,Jigatala,11,Jigatala,11,Jigatala,11,Jatrabari,221,Jatrabari,227,Islampur,7,,,,
Kathalbagan,1,1,Kafrul,2,Kafrul,2,Kafrul,2,Kallyanpur,10,Kafrul,3,Jurain,39,Jurain,39,Jurain,43,Jurain,43,Jigatala,11,Jigatala,12,Jailgate,2,,,,
Kamalapur,3,4,Kallyanpur,10,Kallyanpur,10,Kallyanpur,10,Kalabagan,13,Kallyanpur,10,Kafrul,5,Kafrul,5,Kafrul,5,Kafrul,7,Jurain,43,Jurain,45,Jatrabari,242,,,,
kajla,3,3,Kalabagan,12,Kalabagan,12,Kalabagan,13,Kakrail,173,Kalabagan,14,Kallyanpur,11,Kallyanpur,11,Kallyanpur,11,Kallyanpur,26,Kafrul,8,Kafrul,8,Jinjira,1,,,,
Kamrangir Char,24,24,Kakrail,162,Kakrail,164,Kakrail,167,Kathalbagan,6,Kakrail,173,Kalabagan,15,Kalabagan,18,Kalabagan,21,Kalabagan,22,Kallyanpur,26,Kallyanpur,27,Jigatala,12,,,,
Kazi para,10,10,Kathalbagan,4,Kathalbagan,6,Kathalbagan,6,Kamalapur,6,Kathalbagan,7,Kakrail,176,Kakrail,176,Kakrail,176,Kakrail,176,Kalabagan,23,Kalabagan,24,Jurain,46,,,,
Kawran Bazar,10,10,Kamalapur,5,Kamalapur,6,Kamalapur,6,kajla,3,Kamalapur,6,Kathalbagan,7,Kathalbagan,8,Kathalbagan,8,Kathalbagan,8,Kakrail,176,Kakrail,254,Kafrul,9,,,,
Koratitola,1,1,kajla,3,kajla,3,kajla,3,Kamrangir Char,40,kajla,3,Kamalapur,13,Kamalapur,13,Kamalapur,14,Kamalapur,14,Kathalbagan,9,Kathalbagan,10,Kallyanpur,29,,,,
Kosaituli,1,1,Kamrangir Char,35,Kamrangir Char,37,Kamrangir Char,38,Kazi para,10,Kamrangir Char,41,kajla,3,kajla,3,kajla,3,kajla,3,Kamalapur,15,Kamalapur,15,Kalabagan,29,,,,
Kochukhet,1,1,Kazi para,10,Kazi para,10,Kazi para,10,Kawran Bazar,15,Kazi para,10,Kamrangir Char,41,Kamrangir Char,42,Kamrangir Char,42,Kamrangir Char,42,kajla,3,kajla,3,Kakrail,298,,,,
Khilgaon,35,39,Kawran Bazar,13,Kawran Bazar,14,Kawran Bazar,15,Koratitola,1,Kawran Bazar,15,Kazi para,10,Kazi para,10,Kazi para,10,Kazi para,10,Kamrangir Char,42,Kamrangir Char,42,Kathalbagan,11,,,,
Khilkhet,4,4,Koratitola,1,Koratitola,1,Koratitola,1,Kosaituli,1,Koratitola,1,Kawran Bazar,15,Kawran Bazar,15,Kawran Bazar,15,Kawran Bazar,15,Kazi para,11,Kazi para,11,Kamalapur,15,,,,
Koltabazar,1,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Kochukhet,1,Kosaituli,1,Koratitola,1,Koratitola,1,Koratitola,1,Koratitola,1,Kawran Bazar,15,Kawran Bazar,15,kajla,3,,,,
Kodomtoli,6,6,Kochukhet,1,Kochukhet,1,Kochukhet,1,Khilgaon,59,Kochukhet,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Koratitola,1,Koratitola,1,Kamrangir Char,43,,,,
Kotowali,11,11,Khilgaon,53,Khilgaon,58,Khilgaon,58,Khilkhet,4,Khilgaon,64,Kochukhet,1,Kochukhet,3,Kochukhet,3,Kochukhet,3,Kosaituli,1,Kosaituli,1,Kazi para,11,,,,
Kutubkhali,6,6,Khilkhet,4,Khilkhet,4,Khilkhet,4,Koltabazar,1,Khilkhet,4,Khilgaon,69,Khilgaon,69,Khilgaon,75,Khilgaon,78,Kochukhet,3,Kochukhet,3,Kawran Bazar,15,,,,
Kuril,2,2,Koltabazar,1,Koltabazar,1,Koltabazar,1,Kodomtoli,10,Koltabazar,1,Khilkhet,5,Khilkhet,5,Khilkhet,5,Khilkhet,5,Khilgaon,80,Khilgaon,84,Koratitola,1,,,,
Lalbagh,78,78,Kodomtoli,9,Kodomtoli,10,Kodomtoli,10,Kotowali,15,Kodomtoli,10,Koltabazar,1,Koltabazar,1,Koltabazar,1,Koltabazar,1,Khilkhet,5,Khilkhet,5,Kosaituli,1,,,,
Laxmibazar,12,12,Kotowali,11,Kotowali,14,Kotowali,14,Kutubkhali,6,Kotowali,18,Kodomtoli,10,Kodomtoli,10,Kodomtoli,10,Kodomtoli,10,Koltabazar,1,Koltabazar,1,Kochukhet,4,,,,
Madartek,3,3,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kuril,4,Kutubkhali,6,Kotowali,18,Kotowali,23,Kotowali,26,Kotowali,27,Kodomtoli,10,Kodomtoli,10,Khilgaon,86,,,,
Malitola,4,4,Kuril,2,Kuril,2,Kuril,4,Lalmatia,5,Kuril,4,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kutubkhali,6,Kotowali,27,Kotowali,27,Khilkhet,5,,,,
