Location,5/1/2020,5/2/2020,Location (New Added),5/5/2020,Location (New Added),5/6/2020,Location (New Added),5/7/2020,Location (New Added),5/8/2020,Location (New Added),5/9/2020,Location (New Added),5/10/2020,Location (New Added),5/11/2020,Location (New Added),5/12/2020,Location (New Added),5/14/2020,Location (New Added),5/15/2020,Location (New Added),5/16/2020,Location (New Added),5/17/2020,Location (New Added),5/18/2020,Location (New Added),5/19/2020
Malibagh,58,62,Lalmatia,3,Lalmatia,3,Lalmatia,3,Lalbagh,98,Lalmatia,5,Kuril,4,Kuril,4,Kuril,4,Kuril,4,Kutubkhali,6,Kutubkhali,6,Koltabazar,1,,,,
Matikata,4,4,Lalbagh,89,Lalbagh,93,Lalbagh,97,Laxmibazar,18,Lalbagh,106,Lalmatia,21,Lalmatia,24,Lalmatia,24,Lalmatia,28,Kuril,4,Kuril,4,Kodomtoli,10,,,,
Manda,11,15,Laxmibazar,18,Laxmibazar,18,Laxmibazar,18,Madartek,5,Laxmibazar,18,Lalbagh,108,Lalbagh,112,Lalbagh,116,Lalbagh,116,Lalmatia,29,Lalmatia,30,Kotowali,27,,,,
Maniknagar,5,5,Madartek,3,Madartek,5,Madartek,5,Malitola,4,Madartek,7,Laxmibazar,18,Laxmibazar,18,Laxmibazar,19,Laxmibazar,19,Lalbagh,117,Lalbagh,117,Kutubkhali,6,,,,
Manikdi,1,1,Malitola,4,Malitola,4,Malitola,4,Malibagh,83,Malitola,4,Madartek,7,Madartek,7,Madartek,7,Madartek,7,Laxmibazar,19,Laxmibazar,19,Kuril,4,,,,
Matuail,5,5,Malibagh,78,Malibagh,82,Malibagh,83,Matikata,4,Malibagh,83,Malitola,4,Malitola,4,Malitola,4,Malitola,4,Madartek,7,Madartek,7,Lalmatia,31,,,,
Meradia,3,5,Matikata,4,Matikata,4,Matikata,4,Manda,26,Matikata,4,Malibagh,84,Malibagh,85,Malibagh,89,Malibagh,93,Malitola,4,Malitola,4,Lalbagh,122,,,,
Mirhajaribagh,5,5,Manda,23,Manda,26,Manda,26,Maniknagar,23,Manda,26,Matikata,4,Matikata,4,Matikata,4,Matikata,4,Malibagh,93,Malibagh,101,Laxmibazar,19,,,,
Mirpur-1,32,32,Maniknagar,22,Maniknagar,22,Maniknagar,22,Manikdi,1,Maniknagar,23,Manda,29,Manda,30,Manda,30,Manda,30,Matikata,4,Matikata,4,Madartek,7,,,,
Mirpur-2,2,2,Manikdi,1,Manikdi,1,Manikdi,1,Matuail,5,Manikdi,1,Maniknagar,25,Maniknagar,26,Maniknagar,26,Maniknagar,28,Manda,30,Manda,30,Malitola,4,,,,
Mirpur-6,7,9,Matuail,5,Matuail,5,Matuail,5,Meradia,7,Matuail,6,Manikdi,1,Manikdi,1,Manikdi,1,Manikdi,1,Maniknagar,33,Maniknagar,33,Malibagh,114,,,,
Mirpur-10,18,18,Meradia,5,Meradia,6,Meradia,6,Mirhajaribagh,5,Meradia,7,Matuail,6,Matuail,7,Matuail,8,Matuail,8,Manikdi,1,Manikdi,1,Matikata,5,,,,
Mirpur-11,31,32,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Mirpur-1,36,Mirhajaribagh,5,Meradia,7,Meradia,8,Meradia,8,Meradia,8,Matuail,8,Matuail,8,Manda,31,,,,
Mirpur-12,18,18,Mirpur-1,33,Mirpur-1,34,Mirpur-1,35,Mirpur-2,9,Mirpur-1,40,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Mirhajaribagh,5,Meradia,8,Meradia,8,Maniknagar,35,,,,
Mirpur-13,3,3,Mirpur-2,7,Mirpur-2,8,Mirpur-2,8,Mirpur-6,12,Mirpur-2,9,Mirpur-1,41,Mirpur-1,43,Mirpur-1,45,Mirpur-1,47,Mintu Road,5,Mintu Road,5,Manikdi,1,,,,
Mirpur-14,37,37,Mirpur-6,9,Mirpur-6,11,Mirpur-6,11,Mirpur-10,19,Mirpur-6,12,Mirpur-2,10,Mirpur-2,11,Mirpur-2,11,Mirpur-2,11,Mirhajaribagh,5,Mirhajaribagh,5,Matuail,8,,,,
Mitford,38,38,Mirpur-10,19,Mirpur-10,19,Mirpur-10,19,Mirpur-11,38,Mirpur-10,19,Mirpur-6,12,Mirpur-6,12,Mirpur-6,12,Mirpur-6,12,Mirpur-1,48,Mirpur-1,53,Merul,1,,,,
Mogbazar,43,43,Mirpur-11,33,Mirpur-11,35,Mirpur-11,38,Mirpur-12,19,Mirpur-11,40,Mirpur-10,19,Mirpur-10,20,Mirpur-10,20,Mirpur-10,24,Mirpur-2,11,Mirpur-2,14,Meradia,8,,,,
Monipur,1,1,Mirpur-12,19,Mirpur-12,19,Mirpur-12,19,Mirpur-13,5,Mirpur-12,19,Mirpur-11,42,Mirpur-11,44,Mirpur-11,44,Mirpur-11,47,Mirpur-6,12,Mirpur-6,12,Mintu Road,5,,,,
Mohakhali,68,71,Mirpur-13,5,Mirpur-13,5,Mirpur-13,5,Mirpur-14,40,Mirpur-13,5,Mirpur-12,19,Mirpur-12,21,Mirpur-12,23,Mirpur-12,23,Mirpur-10,24,Mirpur-10,24,Mirhajaribagh,5,,,,
Mohonpur,1,1,Mirpur-14,39,Mirpur-14,39,Mirpur-14,40,Mitford,38,Mirpur-14,40,Mirpur-13,5,Mirpur-13,7,Mirpur-13,8,Mirpur-13,8,Mirpur-11,48,Mirpur-11,48,Mirpur,83,,,,
Mohammadpur,80,81,Mitford,38,Mitford,38,Mitford,38,Mogbazar,65,Mitford,38,Mirpur-14,40,Mirpur-14,40,Mirpur-14,40,Mirpur-14,40,Mirpur-12,23,Mirpur-12,24,Mirpur-1,58,,,,
Motijeel,4,4,Mogbazar,55,Mogbazar,59,Mogbazar,59,Monipur,1,Mogbazar,68,Mitford,38,Mitford,38,Mitford,38,Mitford,38,Mirpur-13,8,Mirpur-13,9,Mirpur-2,14,,,,
Mugda,69,80,Monipur,1,Monipur,1,Monipur,1,Mohakhali,146,Monipur,1,Mogbazar,71,Mogbazar,79,Mogbazar,89,Mogbazar,97,Mirpur-14,41,Mirpur-14,41,Mirpur-6,13,,,,
Nawabpur,2,2,Mohakhali,111,Mohakhali,127,Mohakhali,133,Mohonpur,1,Mohakhali,159,Monipur,1,Monipur,1,Monipur,1,Monipur,1,Mitford,38,Mitford,38,Mirpur-10,24,,,,
Nazirabazar,9,9,Mohonpur,1,Mohonpur,1,Mohonpur,1,Mohammadpur,126,Mohonpur,1,Mohakhali,160,Mohakhali,177,Mohakhali,182,Mohakhali,204,Mogbazar,98,Mogbazar,98,Mirpur-11,49,,,,
Nawabganj,4,4,Mohammadpur,104,Mohammadpur,115,Mohammadpur,118,Motijeel,7,Mohammadpur,132,Mohonpur,1,Mohonpur,1,Mohonpur,1,Mohonpur,1,Monipur,1,Monipur,1,Mirpur-12,36,,,,
Narinda,14,18,Motijeel,6,Motijeel,7,Motijeel,7,Mugda,149,Motijeel,8,Mohammadpur,149,Mohammadpur,156,Mohammadpur,164,Mohammadpur,182,Mohakhali,223,Mohakhali,224,Mirpur-13,9,,,,
New market,10,10,Mugda,121,Mugda,149,Mugda,149,Nawabpur,4,Mugda,156,Motijeel,9,Motijeel,9,Motijeel,11,Motijeel,11,Mohonpur,1,Mohonpur,1,Mirpur-14,42,,,,
Nilkhet,4,4,Nawabpur,2,Nawabpur,2,Nawabpur,4,Nazirabazar,10,Nawabpur,4,Mugda,180,Mugda,181,Mugda,181,Mugda,185,Mohammadpur,189,Mohammadpur,198,Mitford,38,,,,
Nakhalpara,11,15,Nazirabazar,9,Nazirabazar,9,Nazirabazar,10,Narinda,24,Nazirabazar,10,Nawabpur,4,Nawabpur,4,Nawabpur,4,Nawabpur,4,Motijeel,11,Motijeel,11,Mogbazar,125,,,,
Nayabazar,8,8,Nawabganj,4,Nawabganj,4,Narinda,24,New market,11,Narinda,24,Nazirabazar,10,Nazirabazar,10,Nazirabazar,10,Nazirabazar,10,Mugda,189,Mugda,189,Monipur,1,,,,
Neemtoli,5,5,Narinda,18,Narinda,23,New market,10,Nilkhet,4,New market,11,Narinda,24,Narinda,24,Narinda,26,Narinda,27,Nawabpur,4,Nawabpur,4,Mohakhali,235,,,,
Nikunja,1,1,New market,10,New market,10,Nilkhet,4,Nakhalpara,19,Nilkhet,4,New market,14,New market,14,New market,14,New market,14,Nazirabazar,10,Nazirabazar,10,Mohonpur,1,,,,
Pallabi,5,8,Nilkhet,4,Nilkhet,4,Nakhalpara,17,Nayabazar,9,Nakhalpara,19,Nilkhet,4,Nilkhet,4,Nilkhet,4,Nilkhet,4,Narinda,27,Narinda,28,Mohammadpur,213,,,,
Paltan,29,29,Nakhalpara,16,Nakhalpara,17,Nayabazar,9,Neemtoli,9,Nayabazar,9,Nakhalpara,24,Nakhalpara,26,Nakhalpara,26,Nakhalpara,27,New market,14,New market,14,Motijeel,14,,,,
Pirerbagh,3,3,Nayabazar,8,Nayabazar,8,Neemtoli,9,Nikunja,1,Neemtoli,9,Nayabazar,9,Nayabazar,10,Nayabazar,10,Nayabazar,10,Niketon,5,Niketon,5,Mugda,198,,,,
Postogola,6,6,Neemtoli,7,Neemtoli,9,Nikunja,1,Panthapath,18,Nikunja,1,Neemtoli,9,Neemtoli,9,Neemtoli,9,Neemtoli,9,Nilkhet,4,Nilkhet,4,Nawabpur,4,,,,
Purana Paltan,27,27,Nikunja,1,Nikunja,1,Panthapath,18,Pallabi,12,Panthapath,18,Nikunja,1,Nikunja,1,Nikunja,1,Nikunja,1,Nakhalpara,28,Nakhalpara,29,Nazirabazar,10,,,,
Rajarbagh,150,165,Panthapath,11,Panthapath,15,Pallabi,11,Paltan,32,Pallabi,12,Panthapath,18,Panthapath,19,Panthapath,19,Panthapath,23,Nayabazar,10,Nayabazar,23,Narinda,32,,,,
Rampura,25,26,Pallabi,9,Pallabi,11,Paltan,32,Pirerbagh,7,Paltan,32,Pallabi,14,Pallabi,14,Pallabi,15,Pallabi,19,Neemtoli,9,Neemtoli,9,New market,14,,,,
Ramna,12,12,Paltan,31,Paltan,32,Pirerbagh,6,Postogola,7,Pirerbagh,7,Paltan,32,Paltan,33,Paltan,34,Paltan,34,Nikunja,2,Nikunja,2,Niketon,5,,,,
Rayerbagh,5,5,Pirerbagh,5,Pirerbagh,6,Postogola,7,Purana Paltan,27,Postogola,7,Pirerbagh,7,Pirerbagh,7,Pirerbagh,9,Pirerbagh,9,Panthapath,23,Panthapath,23,Nilkhet,4,,,,
Raja Bazar,2,2,Postogola,7,Postogola,7,Purana Paltan,27,Rajarbagh,200,Purana Paltan,27,Postogola,7,Postogola,7,Postogola,7,Postogola,7,Pallabi,20,Pallabi,20,Nakhalpara,30,,,,
Rosulpur,1,1,Purana Paltan,27,Purana Paltan,27,Rajarbagh,200,Rampura,41,Rajarbagh,200,Purana Paltan,27,Purana Paltan,27,Purana Paltan,27,Purana Paltan,27,Paikpara,4,Paikpara,4,Nayabazar,26,,,,
Rupganj,1,1,Rajarbagh,196,Rajarbagh,199,Rampura,38,Ramna,38,Rampura,43,Rajarbagh,202,Rajarbagh,202,Rajarbagh,202,Rajarbagh,202,Paltan,34,Paltan,36,Neemtoli,9,,,,
Rayerbazar,4,5,Rampura,33,Rampura,38,Ramna,26,Rasulbagh,4,Ramna,39,Rampura,44,Rampura,47,Rampura,49,Rampura,55,Pirerbagh,9,Pirerbagh,9,Nikunja,2,,,,
Sabujbagh,7,7,Ramna,15,Ramna,19,Rasulbagh,4,Rayerbagh,9,Rasulbagh,4,Ramna,41,Ramna,42,Ramna,48,Ramna,49,Postogola,7,Postogola,8,Panthapath,26,,,,
Sadarghat,3,3,Rasulbagh,4,Rasulbagh,4,Rayerbagh,9,Raja Bazar,14,Rayerbagh,9,Rasulbagh,4,Rasulbagh,4,Rasulbagh,4,Rasulbagh,4,Purana Paltan,27,Purana Paltan,27,Pallabi,21,,,,
Sahjanpur,15,15,Rayerbagh,9,Rayerbagh,9,Raja Bazar,12,Rosulpur,1,Raja Bazar,15,Rayerbagh,9,Rayerbagh,11,Rayerbagh,12,Rayerbagh,12,Rajarbagh,204,Rajarbagh,206,Paikpara,4,,,,
Sayedabad,8,8,Raja Bazar,8,Raja Bazar,11,Rosulpur,1,Rupganj,1,Rosulpur,1,Raja Bazar,16,Raja Bazar,18,Raja Bazar,20,Raja Bazar,20,Rampura,58,Rampura,60,Paltan,36,,,,
Segunbagicha,4,4,Rosulpur,1,Rosulpur,1,Rupganj,1,Rayerbazar,9,Rupganj,1,Rosulpur,1,Rosulpur,1,Rosulpur,1,Rosulpur,1,Ramna,50,Ramna,50,Pirerbagh,9,,,,
Science Lab,1,1,Rupganj,1,Rupganj,1,Rayerbazar,9,Sabujbagh,7,Rayerbazar,9,Rupganj,1,Rupganj,1,Rupganj,1,Rupganj,1,Rasulbagh,4,Rasulbagh,4,Postogola,8,,,,
Shah Ali Bagh,2,2,Rayerbazar,9,Rayerbazar,9,Sabujbagh,7,Sadarghat,4,Sabujbagh,7,Rayerbazar,11,Rayerbazar,14,Rayerbazar,14,Rayerbazar,14,Rayerbagh,12,Rayerbagh,12,Purana Paltan,27,,,,
Shahbag,51,51,Sabujbagh,7,Sabujbagh,7,Sadarghat,4,Sahjanpur,21,Sadarghat,4,Sabujbagh,8,Sabujbagh,8,Sabujbagh,8,Sabujbagh,9,Raja Bazar,21,Raja Bazar,21,Rajarbagh,206,,,,
Shakharibazar,28,28,Sadarghat,3,Sadarghat,4,Sahjanpur,21,Sayedabad,11,Sahjanpur,21,Sadarghat,4,Sadarghat,4,Sadarghat,4,Sadarghat,4,Rosulpur,1,Rosulpur,4,Rampura,60,,,,
Shantibagh,9,10,Sahjanpur,18,Sahjanpur,21,Sayedabad,11,Segunbagicha,6,Sayedabad,12,Sahjanpur,24,Sahjanpur,24,Sahjanpur,25,Sahjanpur,25,Rupganj,1,Rupganj,1,Ramna,50,,,,
Shampur,1,1,Sayedabad,11,Sayedabad,11,Segunbagicha,6,Science Lab,1,Segunbagicha,6,Sayedabad,14,Sayedabad,14,Sayedabad,15,Sayedabad,15,Rayerbazar,14,Rayerbazar,14,Rasulbagh,4,,,,
Shantinagar,15,15,Segunbagicha,6,Segunbagicha,6,Science Lab,1,Shah Ali Bagh,2,Science Lab,1,Segunbagicha,7,Segunbagicha,7,Segunbagicha,8,Segunbagicha,8,Sabujbagh,9,Sabujbagh,10,Rayerbagh,13,,,,
Shaymoli,23,29,Science Lab,1,Science Lab,1,Shah Ali Bagh,2,Shahbag,59,Shah Ali Bagh,2,Science Lab,1,Science Lab,1,Science Lab,1,Science Lab,1,Sadarghat,4,Sadarghat,5,Raja Bazar,21,,,,
Shewrapara,8,8,Shah Ali Bagh,2,Shah Ali Bagh,2,Shahbag,56,Shakharibazar,31,Shahbag,59,Shah Ali Bagh,2,Shah Ali Bagh,2,Shah Ali Bagh,2,Shah Ali Bagh,2,Sahjanpur,26,Sahjanpur,27,Rosulpur,4,,,,
Shekher Tek,1,1,Shahbag,54,Shahbag,55,Shakharibazar,31,Shantibagh,14,Shakharibazar,31,Shahbag,64,Shahbag,64,Shahbag,66,Shahbag,68,Sayedabad,15,Sayedabad,15,Rupganj,1,,,,
Showari Ghat,3,3,Shakharibazar,29,Shakharibazar,31,Shantibagh,14,Shampur,8,Shantibagh,15,Shakharibazar,32,Shakharibazar,32,Shakharibazar,32,Shakharibazar,32,Segunbagicha,10,Segunbagicha,10,Rayerbazar,16,,,,
Sipahibag,1,1,Shantibagh,12,Shantibagh,13,Shampur,8,Shantinagar,22,Shampur,8,Shantibagh,17,Shantibagh,18,Shantibagh,18,Shantibagh,19,Science Lab,1,Science Lab,1,Sabujbagh,13,,,,
Siddheshwari,4,4,Shampur,8,Shampur,8,Shantinagar,21,Shaymoli,53,Shantinagar,22,Shampur,8,Shampur,11,Shampur,11,Shampur,11,Shah Ali Bagh,2,Shah Ali Bagh,2,Sadarghat,5,,,,
Sonir akhra,12,16,Shantinagar,19,Shantinagar,21,Shaymoli,53,Shewrapara,9,Shaymoli,54,Shantinagar,23,Shantinagar,31,Shantinagar,32,Shantinagar,32,Shahbag,73,Shahbag,73,Sahjanpur,28,,,,
Swamibagh,31,36,Shaymoli,36,Shaymoli,52,Shewrapara,9,Shekher Tek,1,Shewrapara,9,Shaymoli,62,Shaymoli,62,Shaymoli,64,Shaymoli,64,Shakharibazar,32,Shakharibazar,32,Sayedabad,15,,,,
Sher-E-Bangla,,,Shewrapara,9,Shewrapara,9,Shekher Tek,1,Showari Ghat,3,Shekher Tek,1,Shewrapara,9,Shewrapara,9,Shewrapara,9,Shewrapara,9,Shantibagh,19,Shantibagh,19,Segunbagicha,10,,,,
Nagar,6,6,Shekher Tek,1,Shekher Tek,1,Showari Ghat,3,Sipahibag,2,Showari Ghat,3,Shekher Tek,1,Shekher Tek,1,Shekher Tek,1,Shekher Tek,1,Shampur,11,Shampur,11,Science Lab,1,,,,
Sutrapur,19,19,Showari Ghat,3,Showari Ghat,3,Sipahibag,2,Siddheshwari,4,Sipahibag,3,Showari Ghat,3,Showari Ghat,3,Showari Ghat,3,Showari Ghat,3,Shantinagar,37,Shantinagar,37,Shah Ali Bagh,2,,,,
TatiBazar,7,7,Sipahibag,1,Sipahibag,2,Siddheshwari,4,Sonir akhra,17,Siddheshwari,4,Sipahibag,4,Sipahibag,4,Sipahibag,4,Sipahibag,4,Shaymoli,65,Shaymoli,65,Shahbag,73,,,,
Tikatoli,17,17,Siddheshwari,4,Siddheshwari,4,Sonir akhra,17,Swamibagh,47,Sonir akhra,17,Siddheshwari,9,Siddheshwari,11,Siddheshwari,13,Siddheshwari,13,Shewrapara,9,Shewrapara,9,Shakharibazar,32,,,,
Tejkunipara,3,3,Sonir akhra,16,Sonir akhra,17,Swamibagh,47,Sher-E-Bangla Nagar,10,Swamibagh,47,Sonir akhra,17,Sonir akhra,19,Sonir akhra,19,Sonir akhra,19,Shekher Tek,1,Shekher Tek,1,Shantibagh,27,,,,
Tejgaon,50,55,Swamibagh,46,Swamibagh,46,Sher-E-Bangla Nagar,7,Sutrapur,29,Sher-E-Bangla Nagar,16,Swamibagh,47,Swamibagh,49,Swamibagh,49,Swamibagh,49,Showari Ghat,3,Showari Ghat,3,Shampur,11,,,,
Turag,1,1,Sher-E-Bangla Nagar,6,Sher-E-Bangla Nagar,7,Sutrapur,27,Tallabagh,4,Sutrapur,31,Sher-E-Bangla Nagar,16,Sher-E-Bangla Nagar,19,Sher-E-Bangla Nagar,19,Sher-E-Bangla Nagar,21,Sipahibag,4,Sipahibag,4,Shantinagar,38,,,,
Tezturi Bazar,4,4,Sutrapur,27,Sutrapur,27,Tallabagh,4,TatiBazar,10,Tallabagh,4,Sutrapur,32,Sutrapur,34,Sutrapur,35,Sutrapur,37,Siddheshwari,13,Siddheshwari,14,Shaymoli,70,,,,
Tongi,10,11,Tallabagh,4,Tallabagh,4,TatiBazar,10,Tikatoli,22,TatiBazar,10,Tallabagh,4,Tallabagh,4,Tallabagh,4,Tallabagh,4,Sonir akhra,19,Sonir akhra,19,Shewrapara,9,,,,
Tolarbag,19,19,TatiBazar,9,TatiBazar,10,Tikatoli,22,Tejkunipara,3,Tikatoli,22,TatiBazar,10,TatiBazar,10,TatiBazar,10,TatiBazar,10,Swamibagh,49,Swamibagh,49,Shekher Tek,1,,,,
Urdu Road,1,1,Tikatoli,22,Tikatoli,22,Tejkunipara,3,Tejgaon,98,Tejkunipara,3,Tikatoli,22,Tikatoli,22,Tikatoli,22,Tikatoli,22,Sher-E-Bangla,,Sher-E-Bangla Nagar,27,Showari Ghat,3,,,,
Uttara,63,63,Tejkunipara,3,Tejkunipara,3,Tejgaon,94,Turag,1,Tejgaon,101,Tejkunipara,3,Tejkunipara,3,Tejkunipara,3,Tejkunipara,3,Nagar,21,Sutrapur,37,Sipahibag,4,,,,
Vatara,5,5,Tejgaon,79,Tejgaon,89,Turag,1,Tezturi Bazar,5,Turag,1,Tejgaon,105,Tejgaon,107,Tejgaon,113,Tejgaon,122,Sutrapur,37,Tallabagh,4,Siddheshwari,14,,,,
Wari,41,42,Turag,1,Turag,1,Tezturi Bazar,5,Tongi,13,Tezturi Bazar,5,Turag,1,Turag,1,Turag,1,Turag,1,Tallabagh,4,TatiBazar,10,Sonir akhra,19,,,,
,,,Tezturi Bazar,4,Tezturi Bazar,5,Tongi,13,Tolarbag,19,Tongi,13,Tezturi Bazar,5,Tezturi Bazar,5,Tezturi Bazar,5,Tezturi Bazar,5,TatiBazar,10,Tikatoli,24,Swamibagh,50,,,,
,,,Tongi,11,Tongi,13,Tolarbag,19,Urdu Road,1,Tolarbag,19,Tongi,13,Tongi,14,Tongi,14,Tongi,14,Tikatoli,24,Tejkunipara,3,Sher-E-Bangla Nagar,27,,,,
,,,Tolarbag,19,Tolarbag,19,Urdu Road,1,Uttara,80,Urdu Road,1,Tolarbag,19,Tolarbag,19,Tolarbag,19,Tolarbag,19,Tejkunipara,3,Tejgaon,144,Sutrapur,39,,,,
,,,Urdu Road,1,Urdu Road,1,Uttara,72,Vatara,5,Uttara,81,Urdu Road,1,Urdu Road,1,Urdu Road,1,Urdu Road,1,Tejgaon,138,Turag,1,Tallabagh,4,,,,
,,,Uttara,70,Uttara,72,Vatara,5,Vasantek,2,Vatara,5,Uttara,83,Uttara,90,Uttara,92,Uttara,101,Turag,1,Tezturi Bazar,5,Taltola,3,,,,
,,,Vatara,5,Vatara,5,Vasantek,2,Wari,51,Vasantek,2,Vatara,5,Vatara,5,Vatara,6,Vatara,9,Tezturi Bazar,5,Tongi,14,TatiBazar,14,,,,
,,,Wari,49,Vasantek,2,Wari,50,,,Wari,51,Vasantek,2,Vasantek,2,Vasantek,2,Vasantek,3,Tongi,14,Tolarbag,19,Tikatoli,25,,,,
,,,,,Wari,50,,,,,,,Wari,52,Wari,56,Wari,57,Wari,61,Tolarbag,19,Urdu Road,1,Tejkunipara,3,,,,
,,,,,,,,,,,,,,,,,,,,,Urdu Road,1,Uttara,106,Tejgaon,150,,,,
,,,,,,,,,,,,,,,,,,,,,Uttara,104,Vatara,10,Turag,2,,,,
,,,,,,,,,,,,,,,,,,,,,Vatara,9,Vasantek,3,Tezturi Bazar,5,,,,
,,,,,,,,,,,,,,,,,,,,,Vasantek,3,Wari,67,Tongi,14,,,,
,,,,,,,,,,,,,,,,,,,,,Wari,64,,,Tolarbag,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Urdu Road,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Uttara,111,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Vatara,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Vasantek,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Wari,71,,,,
